ID,Name,Description,Criteria,Target,Reward,Icon,Color
ach_total1,Pemula,Dapatkan total skor 1000,totalscore,1000,50,fas fa-star,#FFD700
ach_total2,Ahli,Dapatkan total skor 5000,totalscore,5000,200,fas fa-trophy,#87CEEB
ach_total3,Master,Dapatkan total skor 10000,totalscore,10000,500,fas fa-crown,#98FB98
ach_att1,Percobaan Pertama,Selesaikan 1 level kuis,attempts,1,10,fas fa-redo,#FFA500
ach_att2,Tekun,Selesaikan 10 level kuis,attempts,10,100,fas fa-history,#40E0D0
ach_level1,Penjelajah Level,Selesaikan 5 level,levelscompleted,5,50,fas fa-layer-group,#9370DB
ach_level2,Penakluk Level,Selesaikan 20 level,levelscompleted,20,200,fas fa-flag-checkered,#FF69B4
ach_class1,Kelas Dasar,Buka 3 kelas,classescompleted,3,100,fas fa-door-open,#FF4500
ach_class2,Kolektor Kelas,Buka semua kelas,classescompleted,6,300,fas fa-school,#9370DB
ach_time1,Pemain Aktif,Habiskan 30 menit bermain mini game,miniGamePlayTime,30,50,fas fa-clock,#40E0D0
ach_time2,Dedikasi Tinggi,Habiskan 2 jam bermain mini game,miniGamePlayTime,120,200,fas fa-hourglass,#FF69B4
ach_correct1,Jawaban Tepat,Jawab 10 pertanyaan dengan benar,correctanswers,10,20,fas fa-check,#FF4500
ach_correct2,Ahli Jawaban,Jawab 100 pertanyaan dengan benar,correctanswers,100,150,fas fa-check-double,#FFD700
ach_coin1,Penabung,Kumpulkan 100 koin,coins,100,10,fas fa-coins,#9370DB
ach_coin2,Kaya Raya,Kumpulkan 1000 koin,coins,1000,100,fas fa-piggy-bank,#800080
ach_rank1,Top 100,Masuk 100 besar di leaderboard,ranking,100,150,fas fa-medal,#000080
ach_rank2,Top 50,Masuk 50 besar di leaderboard,ranking,50,250,fas fa-award,#9370DB
ach_rank3,Top 10,Masuk 10 besar di leaderboard,ranking,10,500,fas fa-trophy,#FF4500
ach_rank4,Juara,Menjadi #1 di leaderboard,ranking,1,1000,fas fa-crown,#C0C0C0
ach_all1,Penyelesa,Selesaikan semua level dalam 1 pelajaran,completedlevels,10,300,fas fa-tasks,#FF69B4
ach_all2,Kompletis,Selesaikan semua level dalam semua pelajaran,completedlevels,30,1000,fas fa-check-circle,#FFA500
ach_start,Langkah Pertama,Mulai kuis pertama kali,attempts,1,10,fas fa-baby,#FFD700
ach_name,Punya Identitas,Atur nama pengguna,nameEntered,1,20,fas fa-user-edit,#87CEEB
ach_play5,Pemula,Mainkan 5 kuis,attempts,5,30,fas fa-gamepad,#98FB98
ach_lvl3,Penakluk Level 3,Selesaikan 3 level,levelscompleted,3,50,fas fa-layer-group,#FFA500
ach_lvl10,Eksplorer Level,Selesaikan 10 level,levelscompleted,10,150,fas fa-map,#40E0D0
ach_all_subj,Master Pelajaran,Selesaikan semua level di 1 pelajaran,completedlevels,15,300,fas fa-graduation-cap,#9370DB
ach_perfect,Sempurna,Dapatkan nilai 100% di satu level,totalScore,100,20,fas fa-star,#FF69B4
ach_streak3,Beruntun,Dapatkan 3 nilai di atas 80% berturut-turut,streak,3,150,fas fa-bolt,#FF4500
ach_fast,Kilat,Selesaikan kuis dalam waktu <3 menit,fastcompletion,180,100,fas fa-stopwatch,#00BFFF
ach_coin500,Investor,Kumpulkan 500 koin,coins,500,50,fas fa-piggy-bank,#C0C0C0
ach_coin1000,Jutawan Koin,Kumpulkan 1000 koin,coins,1000,200,fas fa-money-bill-wave,#FFA500
ach_top100,Bintang Naik,Masuk 100 besar di leaderboard,ranking,100,150,fas fa-star,#FFD700
ach_top50,Elite,Masuk 50 besar di leaderboard,ranking,50,300,fas fa-medal,#C0C0C0
ach_top10,Legenda,Masuk 10 besar di leaderboard,ranking,10,500,fas fa-trophy,#FFA500
ach_top1,Raja Kuis,Jadi #1 di leaderboard,ranking,1,1000,fas fa-crown,#FFD700
ach_mg1,Pemain Mini Game,Mainkan 1 mini game,miniGamePlayed,1,20,fas fa-gamepad,#9370DB
ach_mg30min,Penggemar Game,Habiskan 30 menit bermain mini game,miniGamePlayTime,30,100,fas fa-clock,#40E0D0
ach_allclass,Kompletis,Buka semua kelas,classescompleted,7,500,fas fa-school,#FF4500
ach_allach,Kolektor Pencapaian,Dapatkan 10 pencapaian,achievements,10,300,fas fa-trophy,#FFD700
ach_veteran,Veteran,Gunakan aplikasi selama 7 hari berturut-turut,loginstreak,7,200,fas fa-calendar,#9370DB
ach_secret1,Penjelajah Rahasia,Temukan fitur tersembunyi,secret,1,100,fas fa-key,#800080
ach_nightowl,Burung Malam,Main antara jam 12 malam - 5 pagi,nighttime,1,150,fas fa-moon,#000080
ach_help1,Kurangin Satu Jawaban,Gunakan fitur bantuan hilangkan 1 jawaban 5 kali,removeOneUsed,5,30,fas fa-hands-helping,#32CD32
ach_share1,Sosial,Bagikan hasil kuis 3 kali,sharing,3,50,fas fa-share-alt,#1E90FF
ach_login3,Pengunjung Setia,Login 3 hari berturut-turut,loginstreak,3,80,fas fa-calendar-check,#FF8C00
ach_fb1,Feedback,Berikan masukan untuk aplikasi,feedback,1,100,fas fa-comment-dots,#4B0082
ach_rate1,Penilai,Beri rating untuk aplikasi,rating,1,120,fas fa-star-half-alt,#FFD700
ach_invite1,Juru Undang,Undang 3 teman,invites,3,200,fas fa-user-plus,#00FF7F
ach_subject1,Semangat Belajar 1,Buka 3 Pelajaran terkunci,subjectsunlocked,3,300,fa-solid fa-book,#FF8C00
ach_subject2,Semangat Belajar 2,Buka 6 Pelajaran terkunci,subjectsunlocked,6,300,fa-solid fa-book,#4B0082